"Host/IP","Port","Login","Password","Type","Level","Country","Tag(s)","Speed","Alive","Can Resolve Domain to IP"
"35.243.0.243","10093","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.245","10091","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.249","10086","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",X
"35.243.0.243","10092","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.245","10069","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.249","10073","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.0.249","10072","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","35m",X
"35.243.0.245","10068","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.243","10066","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","38m",-
"35.243.0.243","10065","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,154","31m",X
"35.243.0.249","10075","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.245","10071","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.0.249","10074","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.245","10070","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.0.243","10064","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",-
"35.243.0.249","10077","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","39m",-
"35.243.0.243","10071","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","30m",-
"35.243.0.245","10065","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",X
"35.243.0.243","10070","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","36m",X
"35.243.0.249","10076","","","CONNECT","Elite","UNITED STATES","Public SSL","0,155","19m",-
"35.243.0.245","10064","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",-
"35.243.0.243","10069","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","18m",-
"35.243.0.249","10079","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",X
"35.243.0.243","10068","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",-
"35.243.0.245","10066","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",-
"35.243.0.249","10078","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","15m",-
"35.243.0.243","10075","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.249","10065","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",X
"35.243.0.245","10077","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","16m",X
"35.243.0.245","10076","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","40m",X
"35.243.0.249","10064","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","23m",-
"35.243.0.243","10074","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","18m",-
"35.243.0.245","10079","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",-
"35.243.0.243","10073","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","23m",-
"35.243.0.245","10078","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","33m",X
"35.243.0.243","10072","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,150","36m",-
"35.243.0.249","10066","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","38m",-
"35.243.0.245","10073","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","18m",-
"35.243.0.249","10069","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.243","10079","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.245","10072","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.0.249","10068","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.243","10078","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.245","10075","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","31m",-
"35.243.0.243","10077","","","CONNECT","Elite","UNITED STATES","Public SSL","0,162","19m",-
"35.243.0.249","10071","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","38m",-
"35.243.0.249","10070","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.0.243","10076","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.245","10074","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","22m",X
"35.243.0.245","10053","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.243","10051","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","35m",X
"35.243.0.245","10052","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,154","33m",-
"35.243.0.243","10050","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","38m",-
"35.243.0.249","10056","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","18m",-
"35.243.0.245","10055","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.249","10058","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.245","10054","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","32m",X
"35.243.0.243","10048","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.0.249","10061","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,154","36m",-
"35.243.0.243","10055","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","13m",X
"35.243.0.243","10054","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",X
"35.243.0.249","10060","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.245","10048","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","16m",X
"35.243.0.249","10063","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","40m",-
"35.243.0.243","10053","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","12m",X
"35.243.0.245","10051","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.249","10062","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",X
"35.243.0.245","10050","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","12m",X
"35.243.0.243","10052","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",-
"35.243.0.249","10049","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.0.245","10061","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",-
"35.243.0.243","10058","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","17m",-
"35.243.0.249","10048","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",X
"35.243.0.245","10060","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",X
"35.243.0.245","10063","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",-
"35.243.0.249","10051","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","21m",-
"35.243.0.249","10050","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",X
"35.243.0.245","10062","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.243","10056","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.249","10053","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.243","10063","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",X
"35.243.0.249","10052","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.243","10062","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","16m",-
"35.243.0.245","10056","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.249","10055","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",-
"35.243.0.243","10061","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.243","10060","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.249","10054","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","21m",X
"35.243.0.245","10058","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.245","10037","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.243","10035","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","13m",-
"35.243.0.249","10040","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.0.243","10034","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","17m",-
"35.243.0.245","10036","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",X
"35.243.0.243","10033","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",-
"35.243.0.249","10043","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.245","10039","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",X
"35.243.0.249","10042","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","37m",X
"35.243.0.243","10032","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","38m",-
"35.243.0.245","10038","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.243","10039","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","35m",-
"35.243.0.245","10033","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.249","10044","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","33m",X
"35.243.0.243","10038","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","31m",X
"35.243.0.245","10032","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","34m",-
"35.243.0.243","10037","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","38m",X
"35.243.0.245","10035","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","12m",-
"35.243.0.245","10034","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.0.243","10036","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",X
"35.243.0.249","10046","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",X
"35.243.0.249","10033","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","38m",X
"35.243.0.243","10043","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.243","10042","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","37m",X
"35.243.0.249","10032","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","16m",X
"35.243.0.245","10044","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","24m",-
"35.243.0.249","10035","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.249","10034","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.245","10046","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.243","10040","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",-
"35.243.0.249","10037","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","24m",X
"35.243.0.243","10046","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",X
"35.243.0.245","10040","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.249","10036","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",X
"35.243.0.245","10043","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","34m",X
"35.243.0.249","10039","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,161","38m",-
"35.243.0.243","10044","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","32m",-
"35.243.0.245","10042","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",-
"35.243.0.249","10038","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.245","10021","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.0.243","10019","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","34m",-
"35.243.0.249","10024","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.245","10020","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",X
"35.243.0.243","10018","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",-
"35.243.0.243","10017","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",X
"35.243.0.249","10027","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","14m",-
"35.243.0.245","10022","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",X
"35.243.0.243","10016","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",X
"35.243.0.249","10026","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.249","10029","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",-
"35.243.0.245","10017","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.243","10022","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",X
"35.243.0.245","10016","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","24m",X
"35.243.0.249","10028","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","20m",X
"35.243.0.243","10021","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.249","10031","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",-
"35.243.0.245","10019","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.243","10020","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.0.245","10018","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",X
"35.243.0.249","10030","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","24m",-
"35.243.0.249","10017","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,155","31m",X
"35.243.0.245","10029","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",-
"35.243.0.243","10027","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.0.249","10016","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.0.245","10028","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","14m",-
"35.243.0.243","10026","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","39m",X
"35.243.0.243","10025","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.249","10019","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","17m",-
"35.243.0.245","10031","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",X
"35.243.0.245","10030","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.249","10018","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",X
"35.243.0.243","10024","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","24m",-
"35.243.0.249","10021","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",X
"35.243.0.245","10025","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",X
"35.243.0.243","10031","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.245","10024","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","30m",X
"35.243.0.243","10030","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","31m",X
"35.243.0.249","10020","","","CONNECT","Elite","UNITED STATES","Public SSL","0,156","18m",X
"35.243.0.245","10027","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","33m",X
"35.243.0.243","10029","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.243","10028","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.249","10022","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","17m",-
"35.243.0.245","10026","","","CONNECT","Elite","UNITED STATES","Public SSL","0,161","17m",-
"35.243.0.243","10003","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.0.245","10005","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","31m",-
"35.243.0.249","10009","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,159","33m",-
"35.243.0.245","10004","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",X
"35.243.0.249","10008","","","CONNECT","Elite","UNITED STATES","Public SSL","0,163","19m",-
"35.243.0.243","10002","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.245","10007","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","33m",-
"35.243.0.249","10011","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",-
"35.243.0.243","10001","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.243","10000","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",-
"35.243.0.245","10006","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","24m",-
"35.243.0.249","10010","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","17m",-
"35.243.0.243","10007","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","35m",-
"35.243.0.249","10013","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","40m",X
"35.243.0.245","10001","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.243","10006","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","34m",-
"35.243.0.249","10012","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","13m",X
"35.243.0.245","10000","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","14m",-
"35.243.0.243","10005","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","40m",-
"35.243.0.245","10003","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",-
"35.243.0.249","10015","","","CONNECT","Elite","UNITED STATES","Public SSL","0,160","24m",-
"35.243.0.245","10002","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",X
"35.243.0.249","10014","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.243","10004","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","14m",-
"35.243.0.243","10011","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","24m",-
"35.243.0.245","10013","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","15m",-
"35.243.0.249","10001","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","16m",-
"35.243.0.245","10012","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","31m",X
"35.243.0.249","10000","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","14m",-
"35.243.0.243","10010","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","38m",-
"35.243.0.249","10003","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","36m",X
"35.243.0.245","10015","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","17m",-
"35.243.0.243","10009","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","13m",-
"35.243.0.249","10002","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","37m",-
"35.243.0.243","10008","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","19m",-
"35.243.0.245","10014","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","18m",-
"35.243.0.249","10005","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","32m",-
"35.243.0.243","10015","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","15m",-
"35.243.0.245","10009","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","18m",-
"35.243.0.243","10014","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,156","38m",X
"35.243.0.249","10004","","","CONNECT","Elite","UNITED STATES","Public SSL","0,151","13m",-
"35.243.0.245","10008","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","16m",X
"35.243.0.245","10011","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","39m",-
"35.243.0.249","10007","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","12m",-
"35.243.0.243","10013","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","13m",-
"35.243.0.245","10010","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,151","36m",-
"35.243.0.243","10012","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","15m",-
"35.243.0.249","10006","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","17m",-
"35.243.1.4","23924","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,153","34m",X
"35.243.0.243","23924","","","CONNECT","Elite","UNITED STATES","Public SSL","0,153","20m",-
"35.243.0.249","23924","","","CONNECT","Elite","UNITED STATES","Public SSL","0,154","19m",-
"35.243.1.4","29623","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,160","31m",X
"35.243.0.249","29661","","","CONNECT","Elite","UNITED STATES","Public SSL","0,150","12m",-
"35.243.0.245","29661","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","19m",-
"35.243.0.243","29661","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","36m",-
"35.243.0.245","29623","","","CONNECT","Elite","UNITED STATES","Public SSL","0,152","23m",-
"35.243.0.243","29623","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,152","32m",-
"35.243.0.249","29623","","","CONNECT","Elite","UNITED STATES","Public SSL","0,159","15m",-
"36.37.147.34","8080","","","CONNECT","Elite","CAMBODIA","Public","2,287","31m",-
"36.37.251.137","8080","","","CONNECT","Elite","CAMBODIA","Public Facebook supremenewyork","3,320","36m",-
"36.110.143.55","8080","","","CONNECT","Elite","CHINA","Public Google SSL","0,301","17m",X
"36.138.252.123","7890","","","CONNECT","Elite","CHINA","Public","0,259","37m",X
"36.147.78.166","80","","","CONNECT","Elite","CHINA","Public","0,258","39m",X
"36.147.78.166","443","","","CONNECT","Elite","CHINA","Public","0,252","36m",X
"37.32.24.181","1080","","","SOCKS4","Elite","IRAN","Public","4,234","18m",-
"37.200.67.75","1080","","","SOCKS5","Elite","RUSSIAN FEDERATION","Public supremenewyork","0,068","44m",X
"38.54.71.67","80","","","WEB","Elite","NEPAL","Public SSL","0,298","13m",X
"39.100.88.89","80","","","CONNECT","Elite","CHINA","Public","0,318","41m",X
"39.101.65.228","80","","","CONNECT","Elite","CHINA","Public","0,318","31m",X
"39.102.208.23","80","","","CONNECT","Elite","CHINA","Public","0,313","18m",X
"39.102.208.189","80","","","CONNECT","Elite","CHINA","Public","0,301","30m",X
"39.102.209.121","80","","","CONNECT","Elite","CHINA","Public","0,311","32m",X
"39.102.209.128","80","","","CONNECT","Elite","CHINA","Public","0,303","40m",X
"39.102.209.163","80","","","CONNECT","Elite","CHINA","Public","0,316","35m",X
"39.102.210.222","80","","","CONNECT","Elite","CHINA","Public","0,309","34m",X
"39.102.210.176","80","","","CONNECT","Elite","CHINA","Public","0,309","34m",X
"39.102.213.3","80","","","CONNECT","Elite","CHINA","Public","0,316","36m",X
"39.102.213.187","80","","","CONNECT","Elite","CHINA","Public","0,307","34m",X
"39.102.214.208","80","","","CONNECT","Elite","CHINA","Public","0,308","18m",X
"39.102.214.192","80","","","CONNECT","Elite","CHINA","Public","0,301","35m",X
"39.104.69.76","80","","","CONNECT","Elite","CHINA","Public","0,302","33m",X
"40.172.232.213","4027","","","CONNECT","Elite","UNITED ARAB EMIRATES","Public SSL","0,125","19m",X
"40.176.96.235","9051","","","CONNECT","Elite","CANADA","Public supremenewyork","0,190","35m",-
"40.176.96.235","34753","","","CONNECT","Elite","CANADA","Public","0,185","23m",-
"40.192.6.219","1777","","","CONNECT","Elite","INDIA","Public supremenewyork","0,132","33m",X
"41.223.234.116","37259","","","SOCKS4","Elite","BURKINA FASO","Public Google SSL","1,165","22m",-
"42.238.240.176","7890","","","CONNECT","Elite","CHINA","Public Google SSL","2,386","15m",X
"43.134.177.187","20201","","","CONNECT","Elite","SINGAPORE","Public","0,363","32m",X
"43.135.36.240","80","","","WEB","Transparent","HONG KONG","Public","0,183","35m",X
"43.198.185.30","9192","","","CONNECT","Elite","HONG KONG","Public SSL","0,255","21m",-
"43.198.185.30","4444","","","CONNECT","Elite","HONG KONG","Public SSL","0,259","15m",-
"43.198.248.18","8664","","","CONNECT","Elite","HONG KONG","Public Facebook supremenewyork","0,248","34m",-
"43.208.25.125","276","","","CONNECT","Elite","THAILAND","Public SSL","0,270","15m",X
"43.208.240.77","10422","","","CONNECT","Elite","THAILAND","Public","0,280","24m",-
"43.209.8.12","243","","","CONNECT","Elite","THAILAND","Public supremenewyork","0,269","33m",-
"43.209.8.12","10091","","","CONNECT","Elite","THAILAND","Public","0,268","39m",-
"43.209.130.76","363","","","CONNECT","Elite","THAILAND","Public SSL","0,279","14m",-
"43.209.130.76","10078","","","CONNECT","Elite","THAILAND","Public","0,277","35m",-
"43.209.130.76","10006","","","CONNECT","Elite","THAILAND","Public","0,280","21m",-
"43.216.1.13","9150","","","CONNECT","Elite","MALAYSIA","Public Facebook supremenewyork","0,252","37m",-
"43.248.128.209","7890","","","CONNECT","Elite","CHINA","Public","0,292","22m",-
"44.251.173.250","8410","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,185","34m",-
"44.251.173.250","2076","","","CONNECT","Elite","UNITED STATES","Public","0,178","40m",-
"45.22.209.157","8888","","","CONNECT","Elite","UNITED STATES","Public Google SSL","0,456","16m",-
"45.61.188.134","44499","","","SOCKS4","Elite","UNITED STATES","Public","0,121","42m",-
"45.65.137.218","999","","","CONNECT","Elite","COLOMBIA","Public Facebook supremenewyork","0,165","36m",X
"45.70.120.10","8080","","","CONNECT","Elite","BRAZIL","Public","3,278","40m",-
"45.118.35.146","8080","","","CONNECT","Elite","INDIA","Public Google SSL","1,257","13m",-
"45.128.135.255","1080","","","SOCKS4","Elite","NETHERLANDS","Public","1,065","44m",-
"45.180.44.88","999","","","CONNECT","Elite","COLOMBIA","Public Google SSL","0,189","24m",-
"45.186.6.104","3128","","","CONNECT","Elite","ECUADOR","Public Facebook supremenewyork","0,189","44m",X
"45.188.125.232","8080","","","CONNECT","Elite","MEXICO","Public Facebook supremenewyork","0,166","39m",-
"46.101.92.46","3128","","","WEB","Transparent","UNITED KINGDOM","Public","0,041","22m",X
"47.56.110.204","8989","","","WEB","Elite","HONG KONG","Public supremenewyork","0,192","45m",X
"47.74.46.81","80","","","CONNECT","Elite","JAPAN","Public","0,230","38m",X
"47.83.192.255","8888","","","WEB","Transparent","HONG KONG","Public","0,192","44m",X
"47.89.159.212","80","","","CONNECT","Elite","UNITED STATES","Public","0,094","37m",X
"47.89.184.18","3128","","","CONNECT","Elite","UNITED STATES","Public","0,101","19m",X
"47.90.205.231","33333","","","WEB","Elite","UNITED STATES","Public Google SSL","0,094","17m",X
"47.90.149.238","80","","","CONNECT","Elite","UNITED STATES","Public","0,092","42m",X
"47.91.29.151","80","","","CONNECT","Elite","JAPAN","Public","0,232","35m",X
"47.91.65.23","3128","","","CONNECT","Elite","GERMANY","Public","0,040","23m",-
